SORT	ORIG	DEST	Distance
870	SEA	YYJ	98
871	YYJ	SEA	98
872	SEA	TUS	1216
873	TUS	SEA	1216
875	TUS	DFW	814
876	DFW	LHR	4751
877	LHR	GVA	470
878	GVA	LHR	470
880	TUS	OAK	748
881	OAK	TUS	748
883	TUS	OAK	748
884	OAK	TUS	748
888	TUS	DFW	814
889	DFW	MIA	1121
890	MIA	CUR	1193
891	CUR	MIA	1193
893	TUS	IAH	936
894	IAH	FLL	966
895	FLL	IAH	966
896	IAH	TUS	936
898	TUS	ATL	1542
899	ATL	BWI	577
900	BWI	ATL	577
901	ATL	TUS	1542
903	TUS	SFO	752
904	SFO	PEK	5914
905	PEK	LAX	6251
906	LAX	TUS	452
908	TUS	ATL	1542
909	ATL	IAD	534
910	IAD	CLT	322
911	CLT	TUS	1735
913	TUS	ATL	1542
914	ATL	IAD	534
915	IAD	CLT	322
916	CLT	TUS	1735
918	TUS	ATL	1542
919	ATL	IAD	534
920	IAD	CLT	322
921	CLT	TUS	1735
923	TUS	ATL	1542
924	ATL	IAD	534
925	IAD	CLT	322
926	CLT	TUS	1735
928	TUS	ATL	1542
929	ATL	IAD	534
930	IAD	CLT	322
931	CLT	TUS	1735
935	PVD	MDW	843
936	MDW	TUS	1440
937	TUS	PVD	2264
939	HOU	ABQ	760
940	ABQ	TUS	321
941	TUS	LAS	365
942	LAS	HOU	1236
944	BUF	LAS	1987
945	LAS	TUS	365
946	TUS	LAS	365
947	LAS	BUF	1987
949	EUG	SLC	618
950	SLC	TUS	601
951	TUS	LAX	452
952	LAX	EUG	749
956	OAK	TUS	748
957	TUS	LAX	452
958	LAX	OAK	338
965	TUS	DFW	814
966	DFW	TUS	814
968	TUS	ATL	1542
969	ATL	DCA	548
970	DCA	ATL	548
971	ATL	TUS	1542
973	TUS	ATL	1542
974	ATL	DCA	548
975	DCA	SLC	1852
976	SLC	TUS	601
980	HOU	LAS	1236
981	LAS	TUS	365
982	TUS	LAS	365
983	LAS	HOU	1236
987	PHX	PHL	2076
988	PHL	BTV	336
989	BTV	PHL	336
990	PHL	PHX	2076
994	TUS	MCO	1785
995	MCO	DFW	985
996	DFW	TUS	814
1000	TUS	LAS	365
1001	LAS	TUS	365
1005	TUS	LAX	452
1006	LAX	KOA	2504
1007	KOA	LAX	2504
1008	LAX	TUS	452
1010	OTP	IST	284
1011	IST	OTP	284
1012	OTP	SBZ	130
1013	SBZ	OTP	130
1015	TUS	DEN	639
1016	DEN	MUC	5226
1017	MUC	OTP	731
1018	OTP	MUC	731
1020	TUS	SLC	601
1021	SLC	TUS	601
1023	TUS	PHX	111
1024	PHX	DCA	1979
1025	DCA	PHX	1979
1026	PHX	TUS	111
1028	TUS	SLC	601
1029	SLC	PHX	508
1030	PHX	TUS	111
1032	TUS	DEN	639
1033	DEN	HOU	883
1034	HOU	DEN	883
1035	DEN	TUS	639
1037	TUS	DFW	814
1038	DFW	BAQ	2073
1039	BAQ	BOG	428
1040	BOG	MIA	1507
1041	MIA	LAX	2342
1042	LAX	TUS	452
1044	TUS	DFW	814
1045	DFW	BAQ	2073
1046	BAQ	PTY	338
1047	PTY	DFW	1990
1048	DFW	TUS	814
1052	TUS	PHX	111
1053	PHX	IND	1489
1054	IND	PHX	1489
1055	PHX	TUS	111
1057	TUS	PHX	111
1058	PHX	IND	1489
1059	IND	PHX	1489
1060	PHX	TUS	111
1064	TUS	DEN	639
