SORT	ORIG	DEST	CO2_Emissions(tons_per_passenger)
752	LAS	PDX	0.344
753	PDX	SJC	0.28
754	SJC	TUS	0.33
756	TUS	ATL	0.939
757	ATL	ROC	0.34
758	ROC	EWR	0.174
759	EWR	TUS	1.2
761	TUS	PHX	0.13
762	PHX	PDX	0.47
763	PDX	PHX	0.47
764	PHX	TUS	0.13
766	TUS	SLC	0.291
767	SLC	SAN	0.299
768	SAN	PHX	0.192
769	PHX	TUS	0.13
771	TUS	PHX	0.13
772	PHX	ABQ	0.202
773	ABQ	PHX	0.202
774	PHX	TUS	0.13
776	TUS	PHX	0.13
777	PHX	MKE	0.869
778	MKE	PHX	0.869
779	PHX	TUS	0.13
781	ABQ	TUS	0.199
785	TUS	PHX	0.13
786	PHX	DCA	1.2
787	DCA	PHX	1.2
788	PHX	TUS	0.13
790	TUS	IAH	0.404
791	IAH	CLT	0.394
792	CLT	IAH	0.394
793	IAH	TUS	0.404
795	TUS	ABQ	0.199
796	ABQ	TUS	0.199
798	TUS	ABQ	0.199
799	ABQ	TUS	0.199
801	TUS	LAS	0.213
802	LAS	SNA	0.168
803	SNA	TUS	0.229
805	LAX	TUS	0.241
807	TUS	DEN	0.299
808	DEN	TUS	0.299
810	DCA	ATL	0.273
811	ATL	TUS	0.939
812	TUS	ATL	0.939
813	ATL	DCA	0.273
815	TUS	DEN	0.299
816	DEN	IND	0.449
824	TUS	ORD	0.849
825	ORD	TUS	0.849
827	TUS	DFW	0.366
828	DFW	ORD	0.357
829	ORD	DEN	0.39
830	DEN	TUS	0.299
834	TUS	PHX	0.13
835	PHX	MRY	0.289
836	MRY	PHX	0.289
837	PHX	TUS	0.13
849	TUS	ATL	0.939
850	ATL	BWI	0.282
851	BWI	DFW	0.644
852	DFW	TUS	0.366
854	SAN	TUS	0.213
855	TUS	LAX	0.241
857	SFO	CIC	0.144
858	CIC	SFO	0.144
859	SFO	TUS	0.34
860	TUS	SFO	0.34
864	TUS	SAN	0.213
865	SAN	TUS	0.213
867	TUS	SFO	0.34
868	SFO	TUS	0.34
870	SEA	YYJ	0.126
871	YYJ	SEA	0.126
872	SEA	TUS	0.653
873	TUS	SEA	0.653
875	TUS	DFW	0.366
876	DFW	LHR	2.7
877	LHR	GVA	0.247
878	GVA	LHR	0.247
880	TUS	OAK	0.339
881	OAK	TUS	0.339
883	TUS	OAK	0.339
884	OAK	TUS	0.339
888	TUS	DFW	0.366
889	DFW	MIA	0.553
890	MIA	CUR	0.634
891	CUR	MIA	0.634
893	TUS	IAH	0.404
894	IAH	FLL	0.429
895	FLL	IAH	0.429
896	IAH	TUS	0.404
898	TUS	ATL	0.939
899	ATL	BWI	0.282
900	BWI	ATL	0.282
901	ATL	TUS	0.939
903	TUS	SFO	0.34
904	SFO	PEK	3.5
905	PEK	LAX	3.7
906	LAX	TUS	0.241
908	TUS	ATL	0.939
909	ATL	IAD	0.268
910	IAD	CLT	0.199
911	CLT	TUS	1
913	TUS	ATL	0.939
914	ATL	IAD	0.268
915	IAD	CLT	0.199
916	CLT	TUS	1
918	TUS	ATL	0.939
919	ATL	IAD	0.268
920	IAD	CLT	0.199
921	CLT	TUS	1
923	TUS	ATL	0.939
924	ATL	IAD	0.268
925	IAD	CLT	0.199
926	CLT	TUS	1
928	TUS	ATL	0.939
929	ATL	IAD	0.268
930	IAD	CLT	0.199
931	CLT	TUS	1
935	PVD	MDW	0.37
936	MDW	TUS	0.851
937	TUS	PVD	1.3
939	HOU	ABQ	0.342
940	ABQ	TUS	0.199
941	TUS	LAS	0.213
942	LAS	HOU	0.668
944	BUF	LAS	1.2
945	LAS	TUS	0.213
946	TUS	LAS	0.213
947	LAS	BUF	1.2
949	EUG	SLC	0.296
950	SLC	TUS	0.291
951	TUS	LAX	0.241
952	LAX	EUG	0.34
956	OAK	TUS	0.339
957	TUS	LAX	0.241
958	LAX	OAK	0.204
965	TUS	DFW	0.366
966	DFW	TUS	0.366
968	TUS	ATL	0.939
969	ATL	DCA	0.273
970	DCA	ATL	0.273
971	ATL	TUS	0.939
973	TUS	ATL	0.939
974	ATL	DCA	0.273
975	DCA	SLC	1.1
976	SLC	TUS	0.291
980	HOU	LAS	0.668
981	LAS	TUS	0.213
982	TUS	LAS	0.213
983	LAS	HOU	0.668
987	PHX	PHL	1.2
988	PHL	BTV	0.203
989	BTV	PHL	0.203
990	PHL	PHX	1.2
994	TUS	MCO	1.1
995	MCO	DFW	0.43
996	DFW	TUS	0.366
1000	TUS	LAS	0.213
1001	LAS	TUS	0.213
1005	TUS	LAX	0.241
1006	LAX	KOA	1.5
1007	KOA	LAX	1.5
